gender,x1,x2,x3,x4
1,0.31,4.97,3.56,56.67
1,0.44,6.68,3.86,58.49
1,0.32,4.8,3.31,49.99
1,0.5,6.43,3.29,42.25
1,0.36,5.99,3.1,51.7
1,0.48,6.3,4.8,63.3
1,0.4,6,3.06,46.23
1,0.42,6.04,3.85,55.08
1,0.55,6.45,5,58.8
1,0.5,5.55,5.23,57.46
1,0.34,4.27,4,50.35
1,0.4,4.58,2.82,32.48
2,0.29,5.04,1.93,33.85
2,0.28,3.95,2.51,35.82
2,0.31,4.88,2.31,36.4
2,0.3,5.97,1.9,37.87
2,0.28,4.57,2.32,38.3
2,0.11,1.74,2.49,39.19
2,0.25,4.66,2.12,39.21
2,0.26,5.28,1.98,39.94
2,0.39,7.32,2.25,42.41
2,0.37,6.22,1.71,28.97
2,0.31,4.2,2.76,37.8
2,0.35,5.1,2.1,31.1
2,0.29,4.46,2.5,38.3
2,0.33,5.6,3.06,51.8
2,0.18,2.8,2.4,37.6
2,0.28,4.01,2.58,36.78
2,0.44,6.69,3.05,46.16
2,0.22,4.55,1.85,38.95
2,0.34,5.73,2.43,40.6
2,0.3,5.12,2.58,43.69
2,0.31,4.77,1.97,30.4
2,0.27,5.16,2.03,39.46
2,0.66,11.05,2.32,39.34
2,0.37,5.23,2.48,34.86
2,0.35,5.37,2.25,35.07
